pid,category_id,sub_category_id,pname,price,discount_rate,main_image,main_origin_image,slide_image,slide_origin_image,desc_image,desc_origin_image,pdate
1,100,2,[리미티드에디션] 글로우부스터 키트,38000,20,[upload_files/1.jpg],NULL,"[upload_files/s1_1.jpg,upload_files/s1_2.jpg,upload_files/s1_3.jpg,upload_files/s1_4.jpg,upload_files/s1_5.jpg]",NULL,"[upload_files/d1_1.jpg,upload_files/d1_2.jpg,upload_files/d1_3.jpg,upload_files/d1_4.jpg,upload_files/d1_5.jpg]",NULL,2025-01-01 12:40
2,100,1,[NEW] 맑은쌀선크림 아쿠아프레쉬,18000,10,[upload_files/3.jpg],NULL,"[upload_files/s3_1.jpg,upload_files/s3_2.jpg,upload_files/s3_3.jpg,upload_files/s3_4.jpg,upload_files/s3_5.jpg]",NULL,"[upload_files/d3_1.jpg,upload_files/d3_2.jpg]",NULL,2025-01-03 12:40
3,100,4,맑은쌀채운토너,18000,10,[upload_files/4.jpg],NULL,"[upload_files/s4_1.jpg,upload_files/s4_2.jpg,upload_files/s4_3.jpg,upload_files/s4_4.jpg,upload_files/s4_5.jpg]",NULL,"[upload_files/d4_1.jpg,upload_files/d4_2.jpg,upload_files/d4_3.jpg]",NULL,2025-01-04 12:40
4,100,7,[스테파니미초바PICK] 맑은쌀꿀채운마스크,18000,10,[upload_files/5.jpg],NULL,"[upload_files/s5_1.jpg,upload_files/s5_2.jpg,upload_files/s5_3.jpg,upload_files/s5_4.jpg,upload_files/s5_5.jpg]",NULL,"[upload_files/d5_1.jpg,upload_files/d5_2.jpg,upload_files/d5_3.jpg,upload_files/d5_4.jpg]",NULL,2025-01-05 12:40
5,100,3,조선미녀크림 대용량,48000,29,[upload_files/6.jpg],NULL,"[upload_files/s6_1.jpg,upload_files/s6_2.jpg,upload_files/s6_3.jpg,upload_files/s6_4.jpg]",NULL,"[upload_files/d6_1.jpg,upload_files/d6_2.jpg,upload_files/d6_3.jpg]",NULL,2025-01-06 12:40
6,300,8,한복 스크런치,13000,0,[upload_files/7.jpg],NULL,"[upload_files/s7_1.jpg,upload_files/s7_2.jpg,upload_files/s7_3.jpg,upload_files/s7_4.jpg,upload_files/s7_5.jpg]",NULL,"[upload_files/d7_1.jpg,upload_files/d7_2.jpg,upload_files/d7_3.jpg,upload_files/d7_4.jpg,upload_files/d7_5.jpg]",NULL,2025-01-07 12:40
7,400,2,인삼아이크림 더블기획세트,34000,15,[upload_files/8.jpg],NULL,"[upload_files/s8_1.jpg,upload_files/s8_2.jpg,upload_files/s8_3.jpg,upload_files/s8_4.jpg,upload_files/s8_5.jpg]",NULL,"[upload_files/d8_1.jpg,upload_files/d8_2.jpg,upload_files/d8_3.jpg]",NULL,2025-01-08 12:40
8,400,2,퍼펙트 한방 팔레트,68000,19,[upload_files/9.jpg],NULL,"[upload_files/s9_1.jpg,upload_files/s9_2.jpg,upload_files/s9_3.jpg]",NULL,"[upload_files/d9_1.jpg,upload_files/d9_2.jpg,upload_files/d9_3.jpg]",NULL,2025-01-09 12:40
9,300,8,복주머니,9000,0,[upload_files/10.jpg],NULL,"[upload_files/s10_1.jpg,upload_files/s10_2.jpg,upload_files/s10_3.jpg,upload_files/s10_4.jpg]",NULL,"[upload_files/d10_1.jpg,upload_files/d10_2.jpg,upload_files/d10_3.jpg,upload_files/d10_4.jpg,upload_files/d10_5.jpg]",NULL,2025-01-10 12:40
10,300,8,도자기 괄사,17000,0,[upload_files/11.jpg],NULL,"[upload_files/s11_1.jpg,upload_files/s11_2.jpg]",NULL,"[upload_files/d11_1.jpg,upload_files/d11_2.jpg,upload_files/d11_3.jpg]",NULL,2025-01-11 12:40
11,300,8,노방 비누망,4000,0,[upload_files/12.jpg],NULL,"[upload_files/s12_1.jpg,upload_files/s12_2.jpg,upload_files/s12_3.jpg]",NULL,"[upload_files/d12_1.jpg,upload_files/d12_2.jpg,upload_files/d12_3.jpg,upload_files/d12_4.jpg]",NULL,2025-01-12 12:40
12,200,3,파인그로브 : 바디크림,25000,0,[upload_files/13.jpg],NULL,"[upload_files/s13_1.jpg,upload_files/s13_2.jpg,upload_files/s13_3.jpg,upload_files/s13_4.jpg,upload_files/s13_5.jpg]",NULL,"[upload_files/d13_1.jpg,upload_files/d13_2.jpg]",NULL,2025-01-13 12:40
13,200,5,파인그로브 : 바디워시,25000,0,[upload_files/14.jpg],NULL,"[upload_files/s14_1.jpg,upload_files/s14_2.jpg,upload_files/s14_3.jpg,upload_files/s14_4.jpg,upload_files/s14_5.jpg]",NULL,"[upload_files/d14_1.jpg,upload_files/d14_2.jpg]",NULL,2025-01-14 12:40
14,400,2,한방 세럼 디스커버리키트,27000,0,[upload_files/15.jpg],NULL,"[upload_files/s15_1.jpg,upload_files/s15_2.jpg,upload_files/s15_3.jpg]",NULL,[upload_files/d15_1.jpg],NULL,2025-01-15 12:40
15,100,4,청매실 AHA BHA 토너,18000,0,[upload_files/16.jpg],NULL,"[upload_files/s16_1.jpg,upload_files/s16_2.jpg,upload_files/s16_3.jpg,upload_files/s16_4.jpg,upload_files/s16_5.jpg]",NULL,"[upload_files/d16_1.jpg,upload_files/d16_2.jpg]",NULL,2025-01-16 12:40
16,100,3,조선미녀크림,24000,0,[upload_files/17.jpg],NULL,"[upload_files/s17_1.jpg,upload_files/s17_2.jpg,upload_files/s17_3.jpg,upload_files/s17_4.jpg,upload_files/s17_5.jpg]",NULL,"[upload_files/d17_1.jpg,upload_files/d17_2.jpg]",NULL,2025-01-17 12:40
17,100,2,인삼아이크림 : 인삼 + 레티날,17000,0,[upload_files/18.jpg],NULL,"[upload_files/s18_1.jpg,upload_files/s18_2.jpg,upload_files/s18_3.jpg,upload_files/s18_4.jpg,upload_files/s18_5.jpg]",NULL,"[upload_files/d18_1.jpg,upload_files/d18_2.jpg]",NULL,2025-01-18 12:40
